loseScore,drawScore,winScore,simulationTimes
-18,5,12,4500
-18,5,13,3600
-18,5,14,3000
-18,5,15,2800
-18,5,16,2300
-18,5,17,2300
-18,5,18,1900
-18,5,19,2100
-18,5,20,2100
-18,6,7,155600
-18,6,11,8400
-18,6,13,4800
-18,6,17,2300
-18,6,19,2300
-18,7,8,173900
-18,7,9,45200
-18,7,10,23500
-18,7,11,13200
-18,7,12,8400
-18,7,13,7200
-18,7,14,5400
-18,7,15,4200
-18,7,16,3700
-18,7,17,3200
-18,7,18,2800
-18,7,19,3000
-18,7,20,3200
-18,8,9,191000
-18,8,11,25100
-18,8,13,9900
-18,8,15,5900
-18,8,17,3700
-18,8,19,3500
-18,9,10,210800
-18,9,11,52500
-18,9,13,15500
-18,9,14,10900
-18,9,16,6000
-18,9,17,4700
-18,9,19,4500
-18,9,20,4200
-18,10,11,215400
-18,10,13,26600
-18,10,15,10700
-18,10,17,6200
-18,10,19,5200
-18,11,12,223700
-18,11,13,63100
-18,11,14,29600
-18,11,15,19600
-18,11,16,11700
-18,11,17,8700
-18,11,18,7200
-18,11,19,7600
-18,11,20,7400
-18,12,13,237400
-18,12,17,12200
-18,12,19,10100
-18,13,14,249400
-18,13,15,73000
-18,13,16,32800
-18,13,17,19400
-18,13,18,13200
-18,13,19,13900
-18,13,20,13900
-18,14,15,271800
-18,14,17,37400
-18,14,19,22900
-18,15,16,318100
-18,15,17,81700
-18,15,19,39200
-18,15,20,40200
-18,16,17,331600
-18,16,19,85200
-18,17,18,323900
-18,17,19,373600
-18,17,20,388100
-18,18,19,363200
-18,19,20,399300
-17,1,2,100100
-17,1,3,26900
-17,1,4,12500
-17,1,5,7900
-17,1,6,5400
-17,1,7,4200
-17,1,8,3200
-17,1,9,2400
-17,1,10,2300
-17,1,11,1900
-17,1,12,1700
-17,1,13,1600
-17,1,14,1400
-17,1,15,1400
-17,1,16,1300
-17,1,17,1100
-17,1,18,1200
-17,1,19,1400
-17,1,20,1400
-17,2,3,107000
-17,2,4,28900
-17,2,5,14100
-17,2,6,8600
-17,2,7,5900
-17,2,8,4200
-17,2,9,3500
-17,2,10,3200
-17,2,11,2500
-17,2,12,2200
-17,2,13,2000
-17,2,14,1500
-17,2,15,1500
-17,2,16,1400
-17,2,17,1400
-17,2,18,1400
-17,2,19,1400
-17,2,20,1500
-17,3,4,118800
-17,3,5,30800
-17,3,6,15900
-17,3,7,8600
-17,3,8,6300
-17,3,9,4500
-17,3,10,3700
-17,3,11,3100
-17,3,12,2500
-17,3,13,2200
-17,3,14,2000
-17,3,15,1700
-17,3,16,1700
-17,3,17,1500
-17,3,18,1500
-17,3,19,1600
-17,3,20,1800
-17,4,5,119700
-17,4,6,34100
-17,4,7,15500
-17,4,8,10200
-17,4,9,7000
-17,4,10,5000
-17,4,11,4300
-17,4,12,3300
-17,4,13,2600
-17,4,14,2600
-17,4,15,2100
-17,4,16,1800
-17,4,17,1700
-17,4,18,1900
-17,4,19,2000
-17,4,20,1900
-17,5,6,139600
-17,5,7,34500
-17,5,8,18200
-17,5,9,10700
-17,5,10,7500
-17,5,11,5200
-17,5,12,4300
-17,5,13,3800
-17,5,14,2800
-17,5,15,2500
-17,5,16,2200
-17,5,17,1900
-17,5,18,2100
-17,5,19,2400
-17,5,20,2600
-17,6,7,143200
-17,6,8,37000
-17,6,9,18600
-17,6,10,11700
-17,6,11,8200
-17,6,12,6000
-17,6,13,4900
-17,6,14,3800
-17,6,15,3100
-17,6,16,3000
-17,6,17,2400
-17,6,18,2500
-17,6,19,2600
-17,6,20,3000
-17,7,8,168200
-17,7,9,45300
-17,7,10,20600
-17,7,11,11600
-17,7,12,8600
-17,7,13,6700
-17,7,14,4800
-17,7,15,4000
-17,7,16,3500
-17,7,17,2800
-17,7,18,3100
-17,7,19,3400
-17,7,20,3200
-17,8,9,163000
-17,8,10,46500
-17,8,11,24600
-17,8,12,13000
-17,8,13,9200
-17,8,14,6900
-17,8,15,5200
-17,8,16,4300
-17,8,17,3600
-17,8,18,3800
-17,8,19,4100
-17,8,20,4400
-17,9,10,197800
-17,9,11,48000
-17,9,12,23800
-17,9,13,15400
-17,9,14,10000
-17,9,15,7000
-17,9,16,5600
-17,9,17,4500
-17,9,18,4700
-17,9,19,5300
-17,9,20,5500
-17,10,11,207600
-17,10,12,53600
-17,10,13,24700
-17,10,14,15600
-17,10,15,10900
-17,10,16,7100
-17,10,17,5900
-17,10,18,6200
-17,10,19,6600
-17,10,20,6700
-17,11,12,223900
-17,11,13,58900
-17,11,14,28400
-17,11,15,15100
-17,11,16,11700
-17,11,17,8200
-17,11,18,9400
-17,11,19,9800
-17,11,20,10100
-17,12,13,228000
-17,12,14,66300
-17,12,15,30200
-17,12,16,16700
-17,12,17,11600
-17,12,18,11900
-17,12,19,13400
-17,12,20,13100
-17,13,14,249300
-17,13,15,66300
-17,13,16,30800
-17,13,17,19300
-17,13,18,19100
-17,13,19,22500
-17,13,20,22700
-17,14,15,256200
-17,14,16,67800
-17,14,17,33700
-17,14,18,34400
-17,14,19,36900
-17,14,20,39000
-17,15,16,257400
-17,15,17,70600
-17,15,18,75000
-17,15,19,85700
-17,15,20,85400
-17,16,17,312200
-17,16,18,292000
-17,16,19,310500
-17,16,20,361900
-17,17,18,319900
-17,17,19,340600
-17,17,20,348400
-17,18,19,332200
-17,18,20,340700
-17,19,20,360400
-16,1,2,87700
-16,1,3,24900
-16,1,4,11800
-16,1,5,6600
-16,1,6,5400
-16,1,7,3900
-16,1,8,3200
-16,1,9,2600
-16,1,10,2300
-16,1,11,2100
-16,1,12,1600
-16,1,13,1500
-16,1,14,1300
-16,1,15,1400
-16,1,16,1200
-16,1,17,1300
-16,1,18,1300
-16,1,19,1400
-16,1,20,1500
-16,2,3,94800
-16,2,5,13300
-16,2,7,5300
-16,2,9,3300
-16,2,11,2400
-16,2,13,1800
-16,2,15,1400
-16,2,17,1400
-16,2,19,1600
-16,3,4,102700
-16,3,5,27100
-16,3,6,13400
-16,3,7,9000
-16,3,8,6000
-16,3,9,4700
-16,3,10,3200
-16,3,11,2700
-16,3,12,2500
-16,3,13,2100
-16,3,14,2000
-16,3,15,1600
-16,3,16,1500
-16,3,17,1600
-16,3,18,1900
-16,3,19,1800
-16,3,20,1900
-16,4,5,103300
-16,4,7,15800
-16,4,9,6800
-16,4,11,3800
-16,4,13,2500
-16,4,15,2000
-16,4,17,2000
-16,4,19,2200
-16,5,6,122200
-16,5,7,34300
-16,5,8,15900
-16,5,9,9600
-16,5,10,7200
-16,5,11,5000
-16,5,12,4000
-16,5,13,3200
-16,5,14,2800
-16,5,15,2400
-16,5,16,2300
-16,5,17,2300
-16,5,18,2200
-16,5,19,2500
-16,5,20,2600
-16,6,7,143400
-16,6,9,18700
-16,6,11,7900
-16,6,13,4400
-16,6,15,3000
-16,6,17,2700
-16,6,19,3000
-16,7,8,146400
-16,7,9,37700
-16,7,10,18600
-16,7,11,12400
-16,7,12,8100
-16,7,13,5600
-16,7,14,4500
-16,7,15,3800
-16,7,16,3200
-16,7,17,3400
-16,7,18,3500
-16,7,19,4000
-16,7,20,4200
-16,8,9,168800
-16,8,11,19400
-16,8,13,8700
-16,8,15,4800
-16,8,17,4000
-16,8,19,4700
-16,9,10,179500
-16,9,11,45800
-16,9,12,22300
-16,9,13,12500
-16,9,14,9300
-16,9,15,6400
-16,9,16,5400
-16,9,17,5900
-16,9,18,6500
-16,9,19,6500
-16,9,20,6300
-16,10,11,192300
-16,10,13,23900
-16,10,15,10000
